Task,who id,what id,Related association,Due date,Task sub type,description,Status,Priority
task 245,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 246,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 247,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 248,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 249,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 250,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 251,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 252,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 253,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 254,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 255,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 256,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 257,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 258,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 259,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 260,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 261,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 262,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 263,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 264,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 265,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 266,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 267,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 268,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 269,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 270,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 271,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 272,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 273,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 274,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 275,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 276,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 277,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 278,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 279,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 280,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 281,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 282,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 283,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 284,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 285,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 286,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 287,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 288,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 289,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 290,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 291,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 292,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 293,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 294,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 295,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 296,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 297,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 298,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 299,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 300,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 301,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 302,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 303,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 304,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 305,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 306,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 307,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 308,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 309,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 310,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 311,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 312,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 313,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 314,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 315,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 316,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 317,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 318,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 319,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 320,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 321,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 322,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 323,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 324,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 325,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 326,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 327,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 328,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 329,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 330,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 331,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 332,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 333,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 334,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 335,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 336,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 337,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 338,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 339,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 340,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 341,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 342,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 343,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 344,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 345,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 346,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 347,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 348,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 349,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 350,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 351,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 352,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 353,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 354,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 355,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 356,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 357,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 358,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 359,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 360,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 361,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 362,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 363,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 364,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 365,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 366,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 367,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 368,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 369,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 370,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 371,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 372,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 373,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 374,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 375,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
